PlayerId,PlayerName,TeamName,Position,age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun
646240,Rafael Devers,San Francisco Giants,Designated Hitter,,163.0,139.0,127.0,99.0,33.0,0.0,35.0,192.0,112.0,10.0,153.0,6.0,.252,607.0,.372,.479,.851,1.0,1.0,.500,.500,16.0,3060.0,729.0,291.0,109.0,244.0,0.0,4.0,.307,1.09,0.0,17.34
666149,Tyler Fitzgerald,San Francisco Giants,Second Base,27.0,72.0,46.0,61.0,19.0,10.0,1.0,4.0,70.0,17.0,0.0,47.0,2.0,.217,217.0,.278,.327,.605,4.0,9.0,.692,.308,3.0,925.0,243.0,71.0,14.0,96.0,6.0,1.0,.299,0.75,0.0,54.25
685133,Wade Meckler,San Francisco Giants,Outfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642715,Willy Adames,San Francisco Giants,Shortstop,29.0,160.0,105.0,183.0,94.0,22.0,2.0,30.0,179.0,80.0,2.0,133.0,5.0,.225,591.0,.318,.421,.739,4.0,12.0,.750,.250,9.0,2797.0,686.0,249.0,87.0,253.0,0.0,9.0,.263,0.57,1.0,19.70
676475,Alec Burleson,St. Louis Cardinals,First Base,26.0,139.0,119.0,160.0,54.0,26.0,2.0,18.0,79.0,39.0,1.0,144.0,3.0,.290,497.0,.343,.459,.802,1.0,5.0,.833,.167,14.0,1933.0,546.0,228.0,69.0,215.0,1.0,4.0,.312,0.74,2.0,27.61
680977,Brendan Donovan,St. Louis Cardinals,Second Base,28.0,118.0,131.0,136.0,64.0,32.0,0.0,10.0,67.0,42.0,3.0,132.0,7.0,.287,460.0,.353,.422,.775,3.0,3.0,.500,.500,4.0,1923.0,515.0,194.0,50.0,162.0,2.0,4.0,.315,0.96,0.0,46.00
693409,César Prieto,St. Louis Cardinals,Second Base,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,.167,6.0,.167,.167,.334,0.0,0.0,.---,.---,0.0,25.0,6.0,1.0,0.0,2.0,0.0,0.0,1.000,-.--,0.0,-.--
671056,Iván Herrera,St. Louis Cardinals,Catcher,25.0,107.0,115.0,83.0,54.0,13.0,0.0,19.0,84.0,43.0,1.0,110.0,15.0,.284,388.0,.373,.464,.837,2.0,8.0,.800,.200,20.0,1809.0,452.0,180.0,66.0,160.0,0.0,4.0,.315,1.39,2.0,20.42
699625,Jimmy Crooks,St. Louis Cardinals,Catcher,23.0,15.0,8.0,14.0,3.0,0.0,1.0,1.0,17.0,0.0,0.0,6.0,1.0,.133,45.0,.152,.244,.396,0.0,0.0,.---,.---,1.0,199.0,46.0,11.0,1.0,15.0,0.0,0.0,.185,0.57,0.0,45.00
691023,Jordan Walker,St. Louis Cardinals,Outfielder,23.0,111.0,75.0,85.0,40.0,13.0,1.0,6.0,126.0,29.0,1.0,78.0,3.0,.215,363.0,.278,.306,.584,3.0,10.0,.769,.231,9.0,1541.0,396.0,111.0,41.0,176.0,0.0,1.0,.310,0.88,0.0,60.50
665877,José Fermín,St. Louis Cardinals,Second Base,26.0,30.0,16.0,18.0,5.0,5.0,0.0,1.0,10.0,8.0,0.0,17.0,1.0,.283,60.0,.377,.417,.794,2.0,2.0,.500,.500,0.0,271.0,70.0,25.0,9.0,20.0,1.0,0.0,.327,0.89,0.0,60.00
663457,Lars Nootbaar,St. Louis Cardinals,Outfielder,27.0,135.0,109.0,166.0,68.0,24.0,1.0,13.0,119.0,64.0,3.0,119.0,6.0,.234,509.0,.325,.361,.686,5.0,4.0,.444,.556,4.0,2359.0,583.0,184.0,48.0,220.0,1.0,3.0,.279,0.66,0.0,39.15
691026,Masyn Winn,St. Louis Cardinals,Shortstop,23.0,129.0,107.0,162.0,72.0,27.0,0.0,9.0,102.0,34.0,0.0,124.0,8.0,.253,491.0,.310,.363,.673,5.0,9.0,.643,.357,11.0,2256.0,537.0,178.0,51.0,192.0,2.0,2.0,.301,0.66,0.0,54.56
689288,Matt Koperniak,St. Louis Cardinals,Outfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672279,Michael Siani,St. Louis Cardinals,Outfielder,25.0,19.0,4.0,2.0,4.0,0.0,0.0,0.0,7.0,2.0,0.0,4.0,0.0,.235,17.0,.316,.235,.551,0.0,0.0,.---,.---,0.0,69.0,19.0,4.0,0.0,5.0,0.0,0.0,.400,2.00,0.0,-.--
701675,Nathan Church,St. Louis Cardinals,Outfielder,24.0,27.0,20.0,11.0,9.0,1.0,0.0,1.0,18.0,3.0,0.0,10.0,3.0,.179,56.0,.254,.250,.504,0.0,1.0,1.000,.000,0.0,257.0,65.0,14.0,8.0,31.0,2.0,1.0,.237,1.82,0.0,56.00
571448,Nolan Arenado,St. Louis Cardinals,Third Base,34.0,107.0,101.0,160.0,48.0,18.0,1.0,12.0,49.0,28.0,4.0,95.0,3.0,.237,401.0,.289,.377,.666,0.0,3.0,1.000,.000,10.0,1586.0,436.0,151.0,52.0,196.0,0.0,4.0,.241,0.63,0.0,33.42
669357,Nolan Gorman,St. Louis Cardinals,Second Base,25.0,111.0,46.0,101.0,48.0,14.0,1.0,14.0,136.0,47.0,2.0,72.0,0.0,.205,351.0,.296,.370,.666,1.0,1.0,.500,.500,1.0,1655.0,402.0,130.0,46.0,168.0,0.0,4.0,.283,0.46,0.0,25.07
686780,Pedro Pagés,St. Louis Cardinals,Catcher,26.0,112.0,87.0,90.0,38.0,15.0,0.0,11.0,107.0,19.0,1.0,83.0,3.0,.230,361.0,.272,.363,.635,0.0,0.0,.---,.---,9.0,1486.0,389.0,131.0,45.0,179.0,3.0,3.0,.293,0.97,0.0,32.82
695336,Thomas Saggese,St. Louis Cardinals,Second Base,23.0,82.0,57.0,67.0,25.0,17.0,0.0,2.0,83.0,16.0,0.0,71.0,1.0,.258,275.0,.299,.342,.641,0.0,3.0,1.000,.000,5.0,1184.0,295.0,94.0,25.0,122.0,1.0,2.0,.359,0.85,0.0,137.50
687363,Victor Scott II,St. Louis Cardinals,Outfielder,24.0,138.0,104.0,110.0,54.0,15.0,1.0,5.0,111.0,42.0,0.0,86.0,10.0,.216,398.0,.305,.296,.601,4.0,34.0,.895,.105,3.0,1703.0,463.0,118.0,37.0,161.0,10.0,3.0,.284,0.95,0.0,79.60
575929,Willson Contreras,St. Louis Cardinals,First Base,33.0,135.0,112.0,115.0,70.0,31.0,1.0,20.0,142.0,44.0,1.0,126.0,23.0,.257,490.0,.344,.447,.791,1.0,5.0,.833,.167,15.0,2160.0,563.0,219.0,80.0,220.0,1.0,4.0,.319,0.97,1.0,24.50
